country,hdi,year
Montenegro,0.862,2023
Uruguay,0.862,2023
Oman,0.858,2023
Türkiye,0.853,2023
Kuwait,0.852,2023
Antigua and Barbuda,0.851,2023
Seychelles,0.848,2023
Bulgaria,0.845,2023
Romania,0.845,2023
Georgia,0.844,2023
Saint Kitts and Nevis,0.84,2023
Panama,0.839,2023
Brunei Darussalam,0.837,2023
Kazakhstan,0.837,2023
Costa Rica,0.833,2023
Serbia,0.833,2023
Russian Federation,0.832,2023
Belarus,0.824,2023
Bahamas,0.82,2023
Malaysia,0.819,2023
North Macedonia,0.815,2023
Armenia,0.811,2023
Barbados,0.811,2023
Albania,0.81,2023
Trinidad and Tobago,0.807,2023
Mauritius,0.806,2023
Bosnia and Herzegovina,0.804,2023
Iran (Islamic Republic of),0.799,2023
Saint Vincent and the Grenadines,0.798,2023
Thailand,0.798,2023
China,0.797,2023
Peru,0.794,2023
Grenada,0.791,2023
Azerbaijan,0.789,2023
Mexico,0.789,2023
Colombia,0.788,2023
Brazil,0.786,2023
Palau,0.786,2023
Moldova (Republic of),0.785,2023
Ukraine,0.779,2023
Ecuador,0.777,2023
Dominican Republic,0.776,2023
Guyana,0.776,2023
Sri Lanka,0.776,2023
Tonga,0.769,2023
Maldives,0.766,2023
Viet Nam,0.766,2023
Turkmenistan,0.764,2023
Algeria,0.763,2023
Cuba,0.762,2023
Dominica,0.761,2023
Paraguay,0.756,2023
Egypt,0.754,2023
Jordan,0.754,2023
Lebanon,0.752,2023
Saint Lucia,0.748,2023
Mongolia,0.747,2023
Tunisia,0.746,2023
South Africa,0.741,2023
Uzbekistan,0.74,2023
Bolivia (Plurinational State of),0.733,2023
Gabon,0.733,2023
Marshall Islands,0.733,2023
Botswana,0.731,2023
Fiji,0.731,2023
Indonesia,0.728,2023
Suriname,0.722,2023
Belize,0.721,2023
Libya,0.721,2023
Jamaica,0.72,2023
Kyrgyzstan,0.72,2023
Philippines,0.72,2023
Morocco,0.71,2023
Venezuela (Bolivarian Republic of),0.709,2023
Samoa,0.708,2023
Nicaragua,0.706,2023
Nauru,0.703,2023
Bhutan,0.698,2023
Eswatini (Kingdom of),0.695,2023
Iraq,0.695,2023
Tajikistan,0.691,2023
Tuvalu,0.689,2023
Bangladesh,0.685,2023
India,0.685,2023
El Salvador,0.678,2023
Equatorial Guinea,0.674,2023
"Palestine, State of",0.674,2023
Cabo Verde,0.668,2023
Namibia,0.665,2023
Guatemala,0.662,2023
Congo,0.649,2023
Honduras,0.645,2023
Kiribati,0.644,2023
Sao Tome and Principe,0.637,2023
Timor-Leste,0.634,2023
Ghana,0.628,2023
Kenya,0.628,2023
Nepal,0.622,2023
Vanuatu,0.621,2023
Lao People's Democratic Republic,0.617,2023
Angola,0.616,2023
Micronesia (Federated States of),0.615,2023
Myanmar,0.609,2023
Cambodia,0.606,2023
Comoros,0.603,2023
Zimbabwe,0.598,2023
Zambia,0.595,2023
Cameroon,0.588,2023
Solomon Islands,0.584,2023
Côte d'Ivoire,0.582,2023
Uganda,0.582,2023
Rwanda,0.578,2023
Papua New Guinea,0.576,2023
Togo,0.571,2023
Syrian Arab Republic,0.564,2023
Mauritania,0.563,2023
Nigeria,0.56,2023
Tanzania (United Republic of),0.555,2023
Haiti,0.554,2023
Lesotho,0.55,2023
Pakistan,0.544,2023
Senegal,0.53,2023
Gambia,0.524,2023
Congo (Democratic Republic of the),0.522,2023
Malawi,0.517,2023
Benin,0.515,2023
Guinea-Bissau,0.514,2023
Djibouti,0.513,2023
Sudan,0.511,2023
Liberia,0.51,2023
Eritrea,0.503,2023
Guinea,0.5,2023
Ethiopia,0.497,2023
Afghanistan,0.496,2023
Mozambique,0.493,2023
Madagascar,0.487,2023
Yemen,0.47,2023
Sierra Leone,0.467,2023
Burkina Faso,0.459,2023
Burundi,0.439,2023
Mali,0.419,2023
Niger,0.419,2023
Chad,0.416,2023
Central African Republic,0.414,2023
Somalia,0.404,2023
South Sudan,0.388,2023
Arab States,0.719,2023
East Asia and the Pacific,0.775,2023
Europe and Central Asia,0.818,2023
Latin America and the Caribbean,0.783,2023
South Asia,0.672,2023
Sub-Saharan Africa,0.568,2023
