country_iso3,country_name,region,subregion,income_group,is_sovereign,trajectory_score_static_2045,trajectory_score_ml_2045,trajectory_score_delta_ml_minus_static,trajectory_rank_static_2045,trajectory_rank_ml_2045,trajectory_rank_delta_static_minus_ml
MDG,Madagascar,Africa,Eastern Africa,Low income,true,0.0835609029651401,0.08341300278933371,-1.479001758063897E-4,209,196,13
AGO,Angola,Africa,Middle Africa,Lower middle income,true,0.08986907172524863,0.08972491939410644,-1.4415233114219161E-4,206,193,13
CMR,Cameroon,Africa,Middle Africa,Lower middle income,true,0.03676842398065677,0.036634768765354514,-1.3365521530225855E-4,226,216,10
LBN,Lebanon,Asia,Western Asia,Upper middle income,true,0.2517070895898323,0.25157534603053966,-1.317435592926297E-4,92,91,1
GNB,Guinea-Bissau,Africa,Western Africa,Low income,true,0.07282789737224221,0.07269928754463593,-1.2860982760627693E-4,215,202,13
LBY,Libya,Africa,Northern Africa,Upper middle income,true,0.21112706974061468,0.21099863658238538,-1.284331582293019E-4,128,123,5
LBR,Liberia,Africa,Western Africa,Low income,true,0.11618273831582658,0.1160571600939102,-1.2557822191637535E-4,192,182,10
BFA,Burkina Faso,Africa,Western Africa,Low income,true,-0.012243568449732234,-0.012367525073686228,-1.239566239539941E-4,232,230,2
CAF,Central African Republic,Africa,Middle Africa,Low income,true,-0.07364839675108231,-0.07376862025513428,-1.2022350405196947E-4,236,236,0
PHL,Philippines,Asia,South-eastern Asia,Lower middle income,true,0.15886787185871695,0.15874789439438985,-1.1997746432709788E-4,172,165,7
PAN,Panama,Americas,Central America,Upper middle income,true,0.4022982800175969,0.40218423640869205,-1.1404360890482357E-4,45,45,0
BEN,Benin,Africa,Western Africa,Lower middle income,true,0.06458545592230772,0.06447325934115916,-1.121965811485548E-4,218,206,12
ROU,Romania,Europe,Eastern Europe,High income,true,0.36651991935644296,0.366408221338823,-1.1169801761995446E-4,51,51,0
BDI,Burundi,Africa,Eastern Africa,Low income,true,3.2450330612866785E-5,-7.855354947208099E-5,-1.1100388008494777E-4,230,227,3
NGA,Nigeria,Africa,Western Africa,Lower middle income,true,-0.022908182539600544,-0.0230191095510259,-1.1092701142535744E-4,234,233,1
AZE,Azerbaijan,Asia,Western Asia,Upper middle income,true,0.17031048600571558,0.17020444711140895,-1.0603889430663149E-4,162,156,6
IDN,Indonesia,Asia,South-eastern Asia,Upper middle income,true,0.21234172169212695,0.21223577938219013,-1.0594230993682396E-4,125,120,5
ARM,Armenia,Asia,Western Asia,Upper middle income,true,0.3581302026426658,0.35802451090732484,-1.0569173534097365E-4,56,56,0
ECU,Ecuador,Americas,South America,Upper middle income,true,0.29781371782776445,0.29770805977454445,-1.0565805321999244E-4,72,72,0
HTI,Haiti,Americas,Caribbean,Lower middle income,true,0.05500490202361748,0.05489949547425095,-1.0540654936652682E-4,221,210,11
CIV,Côte d'Ivoire,Africa,Western Africa,Lower middle income,true,0.10483055493977997,0.10472522065924293,-1.0533428053703664E-4,198,189,9
AFG,Afghanistan,Asia,Southern Asia,Low income,true,-0.005818698923519439,-0.005919374614222761,-1.0067569070332238E-4,231,228,3
PAK,Pakistan,Asia,Southern Asia,Lower middle income,true,0.06652815715468308,0.06642956164521993,-9.859550946314521E-5,217,204,13
RWA,Rwanda,Africa,Eastern Africa,Low income,true,0.08269648623410265,0.08259898775681802,-9.74984772846299E-5,210,197,13
BLR,Belarus,Europe,Eastern Europe,Upper middle income,true,0.25260709251084507,0.2525097337599237,-9.735875092137247E-5,91,90,1
OMN,Oman,Asia,Western Asia,High income,true,0.32130812398914566,0.3212159611299448,-9.216285920082834E-5,64,64,0
AUT,Austria,Europe,Western Europe,High income,true,0.5800081681449424,0.5799174991988266,-9.066894611575727E-5,10,10,0
TZA,Tanzania,Africa,Eastern Africa,Lower middle income,true,0.16567209279104145,0.1655821131028961,-8.99796881453363E-5,167,160,7
UZB,Uzbekistan,Asia,Central Asia,Lower middle income,true,0.21158639319255837,0.21149650289161306,-8.989030094530559E-5,127,122,5
DOM,Dominican Republic,Americas,Caribbean,Upper middle income,true,0.292165075932748,0.29207538228682906,-8.969364591893125E-5,74,74,0
SYR,Syria,Asia,Western Asia,Low income,true,0.11422282485986168,0.11431193781180818,8.911295194649616E-5,195,186,9
MLI,Mali,Africa,Western Africa,Low income,true,-0.022640208816575177,-0.022729191144449018,-8.898232787384053E-5,233,232,1
BOL,Bolivia,Americas,South America,Lower middle income,true,0.18448993706400513,0.18440203140955802,-8.790565444710685E-5,147,143,4
SVK,Slovakia,Europe,Eastern Europe,High income,true,0.46326283090831605,0.46317639875504224,-8.643215327380771E-5,36,36,0
LSO,Lesotho,Africa,Southern Africa,Lower middle income,true,0.15972469687755367,0.1596383919816861,-8.630489586755608E-5,170,163,7
FIN,Finland,Europe,Northern Europe,High income,true,0.5985691785696011,0.5984871656838147,-8.201288578646437E-5,7,7,0
MUS,Mauritius,Africa,Eastern Africa,Upper middle income,true,0.3483342399861965,0.348414960729454,8.072074325748968E-5,58,58,0
EGY,Egypt,Africa,Northern Africa,Lower middle income,true,0.2044112244034702,0.20433237991272535,-7.8844490744856E-5,133,128,5
HND,Honduras,Americas,Central America,Lower middle income,true,0.22605144886458053,0.2259741559948818,-7.729286969873628E-5,112,109,3
KWT,Kuwait,Asia,Western Asia,High income,true,0.38262540488254404,0.38254956612063973,-7.583876190431216E-5,48,48,0
KGZ,Kyrgyzstan,Asia,Central Asia,Lower middle income,true,0.23049791700480446,0.2304249076517805,-7.300935302395617E-5,104,102,2
COL,Colombia,Americas,South America,Upper middle income,true,0.32060315110541093,0.3205310486884285,-7.210241698241138E-5,66,66,0
MRT,Mauritania,Africa,Western Africa,Lower middle income,true,0.13313704396834564,0.1330666266575726,-7.041731077303548E-5,185,177,8
MWI,Malawi,Africa,Eastern Africa,Low income,true,0.17475727149610648,0.17468685965348105,-7.04118426254341E-5,158,152,6
GTM,Guatemala,Americas,Central America,Upper middle income,true,0.22100617381085114,0.22093600701339738,-7.016679745375232E-5,118,114,4
SLV,El Salvador,Americas,Central America,Lower middle income,true,0.19329009731063576,0.19335959761101895,6.950030038319066E-5,140,135,5
GAB,Gabon,Africa,Middle Africa,Upper middle income,true,0.15897847280495198,0.1589110503773143,-6.742242763768669E-5,171,164,7
CHL,Chile,Americas,South America,High income,true,0.4975148372518884,0.49744800809782874,-6.68291540596444E-5,29,29,0
ZAF,South Africa,Africa,Southern Africa,Upper middle income,true,0.26083483429315857,0.26076918155063583,-6.565274252273712E-5,86,85,1
IRL,Ireland,Europe,Northern Europe,High income,true,0.6532428899335339,0.6531775050810299,-6.538485250395798E-5,1,1,0
PRY,Paraguay,Americas,South America,Upper middle income,true,0.2885866647073856,0.28852183312076923,-6.483158661635402E-5,78,78,0
CYP,Cyprus,Asia,Western Asia,High income,true,0.4655574016228601,0.46549285731131773,-6.454431154234719E-5,35,35,0
KEN,Kenya,Africa,Eastern Africa,Lower middle income,true,0.11459741414651214,0.11453311747742126,-6.429666909088527E-5,194,185,9
ITA,Italy,Europe,Southern Europe,High income,true,0.5239073941230021,0.5238440615668062,-6.333255619594969E-5,26,26,0
BTN,Bhutan,Asia,Southern Asia,Lower middle income,true,0.29362476909993157,0.2935619236285865,-6.284547134505214E-5,73,73,0
PER,Peru,Americas,South America,Upper middle income,true,0.3591811939082009,0.35911885027933366,-6.23436288672563E-5,54,54,0
MAR,Morocco,Africa,Northern Africa,Lower middle income,true,0.27617603411554065,0.27611448368878344,-6.155042675720646E-5,80,80,0
IND,India,Asia,Southern Asia,Lower middle income,true,0.17898029532683213,0.17891889772318303,-6.139760364909375E-5,153,148,5
ISR,Israel,Asia,Western Asia,High income,true,0.41786500432481577,0.41780400989038236,-6.099443443341457E-5,42,42,0
FRA,France,Europe,Western Europe,High income,true,0.5702115598967972,0.5701510379630946,-6.0521933702539776E-5,13,13,0
JAM,Jamaica,Americas,Caribbean,Upper middle income,true,0.32076104591522125,0.3207015640799479,-5.948183527337836E-5,65,65,0
IRN,Iran,Asia,Western Asia,Lower middle income,true,0.20282425571660423,0.2027652282461604,-5.9027470443839825E-5,136,131,5
BRB,Barbados,Americas,Caribbean,High income,true,0.4243747260295473,0.42431653944404896,-5.818658549833211E-5,41,41,0
HRV,Croatia,Europe,Southern Europe,High income,true,0.44247933018418745,0.4424212628011422,-5.806738304525716E-5,38,38,0
