scope_type,scope_name,country_count,avg_score_delta,min_score_delta,max_score_delta,avg_rank_delta
global,,159,-9.810361729828995E-4,-0.055646605544763486,0.0058379166242477215,2.5849056603773586
region,Africa,47,1.6380883881168576E-5,-3.986753833985224E-4,0.0058379166242477215,6.617021276595745
region,Americas,27,-0.004111341426809735,-0.055646605544763486,6.950030038319066E-5,-0.40740740740740744
region,Asia,44,-0.001012530393542714,-0.03934188148631018,1.7875143644746627E-4,2.1363636363636362
region,Europe,38,-2.43111993545714E-5,-1.1169801761995446E-4,1.6473236536296287E-4,0.3947368421052631
region,Oceania,3,-9.109054382662E-5,-2.584990439009893E-4,6.9400826376853075E-6,0.6666666666666666
