country_name,country_iso3,region_name,subregion,income_group,trajectory_score_2023,trajectory_score_2045,trajectory_change_2023_2045,rise_potential_score,momentum_score,momentum_band,forecast_score_completeness,quadrant
Bhutan,BTN,Asia,Southern Asia,Lower middle income,0.27511559317365347,0.29362476909993157,0.0185091759262781,0.044105743767267766,0.024139117601787864,stable,complete,Future Leaders
Botswana,BWA,Africa,Southern Africa,Upper middle income,0.25918989139006143,0.2580115840014507,-0.0011783073886107442,0.043073756396317685,0.01812870061134334,stable,complete,Structural Risk
Thailand,THA,Asia,South-eastern Asia,Upper middle income,0.2550812914744234,0.2709821843725121,0.015900892898088714,0.04022818734962541,0.023059923896838017,stable,complete,Structural Risk
Egypt,EGY,Africa,Northern Africa,Lower middle income,0.1861567334452107,0.2044112244034702,0.01825449095825951,0.039457151810929604,0.0248105730048854,stable,complete,Rising Challengers
Nepal,NPL,Asia,Southern Asia,Lower middle income,0.24542603034934413,0.2579606198570142,0.012534589507670058,0.0350734176136058,0.017330270763642942,stable,complete,Structural Risk
Fiji,FJI,Oceania,Melanesia,Upper middle income,0.23887930741782432,0.24275052466775343,0.0038712172499291153,0.03490799537472446,0.014866749189733415,stable,complete,Structural Risk
Vietnam,VNM,Asia,South-eastern Asia,Lower middle income,0.2126818140832825,0.22805926568601817,0.015377451602735681,0.03175006438037888,0.01734448617135189,stable,complete,Structural Risk
Ghana,GHA,Africa,Western Africa,Lower middle income,0.22143337658771728,0.22595321713517746,0.0045198405474601855,0.030768198185988888,0.012951788150720296,stable,complete,Structural Risk
Tajikistan,TJK,Asia,Central Asia,Lower middle income,0.17214090969377543,0.16856677414108578,-0.00357413555268965,0.030223254707333152,0.012319826015342969,stable,complete,Structural Risk
Honduras,HND,Americas,Central America,Lower middle income,0.22784711014266004,0.22605144886458053,-0.0017956612780795078,0.02832543774151032,0.009027009772823273,stable,complete,Structural Risk
Guatemala,GTM,Americas,Central America,Upper middle income,0.22650380213429688,0.22100617381085114,-0.005497628323445747,0.0274767863043388,0.00736430267834285,stable,complete,Structural Risk
El Salvador,SLV,Americas,Central America,Lower middle income,0.18650454092720756,0.19329009731063576,0.006785556383428204,0.026195198115365324,0.012013529035976994,stable,complete,Structural Risk
Namibia,NAM,Africa,Southern Africa,Upper middle income,0.23369215752210215,0.22734425246900247,-0.006347905053099678,0.024178678389019145,0.004472816742623412,stable,complete,Structural Risk
Iran,IRN,Asia,Western Asia,Lower middle income,0.19443186703461757,0.20282425571660423,0.008392388681986662,0.019523106903002005,0.00982436941620751,stable,complete,Structural Risk
Lesotho,LSO,Africa,Southern Africa,Lower middle income,0.12572865737066613,0.15972469687755367,0.03399603950688754,0.01604647920368997,0.0159435379105037,moderate,complete,Structural Risk
Indonesia,IDN,Asia,South-eastern Asia,Upper middle income,0.2069201917576225,0.21234172169212695,0.005421529934504454,0.01265124920812747,0.0030211535039424645,stable,complete,Structural Risk
Venezuela,VEN,Americas,South America,Upper middle income,0.15097804429823397,0.14008112362374991,-0.010896920674484056,0.012197470656032008,-0.0015793433399157591,declining,complete,Structural Risk
Bolivia,BOL,Americas,South America,Lower middle income,0.18707939032853532,0.18448993706400513,-0.002589453264530195,0.01190252440170389,-8.765887292730701E-4,stable,complete,Structural Risk
Nicaragua,NIC,Americas,Central America,Lower middle income,0.16272793162064084,0.1624228509562298,-3.050806644110393E-4,0.006664442997784098,-0.002750696427125339,stable,complete,Structural Risk
Gabon,GAB,Africa,Middle Africa,Upper middle income,0.16177991057265717,0.15897847280495198,-0.002801437767705195,0.0065954437668369545,-0.0035177238581337866,stable,complete,Structural Risk
Senegal,SEN,Africa,Western Africa,Lower middle income,0.20362884911167048,0.21015385717444426,0.006525008062773785,0.003793541957679447,-0.0045176913805035565,stable,complete,Structural Risk
Zambia,ZMB,Africa,Eastern Africa,Lower middle income,0.18432151252895973,0.18333207918347122,-9.894333454885107E-4,0.0035937138247197215,-0.006080645556873383,stable,complete,Structural Risk
Laos,LAO,Asia,South-eastern Asia,Lower middle income,0.1293727620217236,0.14484098321661004,0.015468221194886445,-0.001957819536049746,-0.002474440501772021,stable,complete,Structural Risk
Gambia,GMB,Africa,Western Africa,Low income,0.18725802219424673,0.18831040510142497,0.0010523829071782398,-0.003672575825777069,-0.010676437290095687,stable,complete,Structural Risk
Russian Federation,RUS,Europe,Eastern Europe,Upper middle income,0.1629248162616264,0.16990887392574008,0.0069840576641136964,-0.005703248569142727,-0.004193753142618422,stable,complete,Structural Risk
Azerbaijan,AZE,Asia,Western Asia,Upper middle income,0.17088248976426818,0.17031048600571558,-5.720037585525972E-4,-0.007401656925492401,-0.010312338956924572,stable,complete,Structural Risk
Tanzania,TZA,Africa,Eastern Africa,Lower middle income,0.1610409967386906,0.16567209279104145,0.004631096052350847,-0.007873735051460828,-0.011345975093296642,stable,complete,Structural Risk
Ukraine,UKR,Europe,Eastern Europe,Lower middle income,0.15623675976331772,0.173056218976716,0.01681945921339828,-0.010328305850598837,-0.004131107360627641,stable,complete,Structural Risk
Equatorial Guinea,GNQ,Africa,Middle Africa,Upper middle income,0.08844727475482532,0.08775317677531559,-6.94097979509728E-4,-0.010513147393649506,-0.011551030423272258,stable,complete,Structural Risk
Bangladesh,BGD,Asia,Southern Asia,Lower middle income,0.1458782147982291,0.1666113096695211,0.02073309487129199,-0.012974987546533659,-0.009323417012749816,moderate,complete,Structural Risk
